Source Row,Compound Name,CASRN,Source,Standardized SMILES,Original SMILES,Supplied InChIKey,Curation Status,Reason,Evidence Tier,Resolution Path,Automation Eligibility,Suggested Next Action
192,Bis(pentamethylcyclotrisiloxy)hexamethyltrisiloxan e,18142-95-5,Page 30: Table B2 (cont.): GC-MS Results for the isooctane Extracts of the Test Article (concentrated),,,,Needs structure,No standardized or original SMILES supplied,CASRN supplied — verify scope,"Resolve through an approved reference source by CASRN, then verify structure against the reported analytical context",Ineligible until structure is reviewer-approved,Review source evidence and obtain an approved structure; do not infer from name text
193,Branched alkane (C=09) related compound 01,not given,Page 30: Table B2 (cont.): GC-MS Results for the isooctane Extracts of the Test Article (concentrated),,,,Ambiguous identity,No standardized or original SMILES supplied; name contains an ambiguity annotation,Insufficient identity evidence,Review the source table and analytical evidence; do not create a structure from the annotation text,Ineligible until identity is approved,Review source evidence and obtain an approved structure; do not infer from name text
194,Branched alkane (C=09) related compound 02,not given,Page 30: Table B2 (cont.): GC-MS Results for the isooctane Extracts of the Test Article (concentrated),,,,Ambiguous identity,No standardized or original SMILES supplied; name contains an ambiguity annotation,Insufficient identity evidence,Review the source table and analytical evidence; do not create a structure from the annotation text,Ineligible until identity is approved,Review source evidence and obtain an approved structure; do not infer from name text
195,Branched alkane (C=10) related compound,not given,Page 25: Table B1 (cont.): GC-MS Results for the isooctane Extracts of the Test Article (non-concentrated),,,,Ambiguous identity,No standardized or original SMILES supplied; name contains an ambiguity annotation,Insufficient identity evidence,Review the source table and analytical evidence; do not create a structure from the annotation text,Ineligible until identity is approved,Review source evidence and obtain an approved structure; do not infer from name text
196,Branched alkane (C=11) related compound,not given,Page 30: Table B2 (cont.): GC-MS Results for the isooctane Extracts of the Test Article (concentrated),,,,Ambiguous identity,No standardized or original SMILES supplied; name contains an ambiguity annotation,Insufficient identity evidence,Review the source table and analytical evidence; do not create a structure from the annotation text,Ineligible until identity is approved,Review source evidence and obtain an approved structure; do not infer from name text
197,Branched alkane (C=13) related compound,not given,Page 31: Table B2 (cont.): GC-MS Results for the isooctane Extracts of the Test Article (concentrated),,,,Ambiguous identity,No standardized or original SMILES supplied; name contains an ambiguity annotation,Insufficient identity evidence,Review the source table and analytical evidence; do not create a structure from the annotation text,Ineligible until identity is approved,Review source evidence and obtain an approved structure; do not infer from name text
198,Branched alkane (C=15) related compound,not given,Page 31: Table B2 (cont.): GC-MS Results for the isooctane Extracts of the Test Article (concentrated),,,,Ambiguous identity,No standardized or original SMILES supplied; name contains an ambiguity annotation,Insufficient identity evidence,Review the source table and analytical evidence; do not create a structure from the annotation text,Ineligible until identity is approved,Review source evidence and obtain an approved structure; do not infer from name text
199,Branched alkane (C=16) related compound,not given,Page 31: Table B2 (cont.): GC-MS Results for the isooctane Extracts of the Test Article (concentrated),,,,Ambiguous identity,No standardized or original SMILES supplied; name contains an ambiguity annotation,Insufficient identity evidence,Review the source table and analytical evidence; do not create a structure from the annotation text,Ineligible until identity is approved,Review source evidence and obtain an approved structure; do not infer from name text
200,Branched alkane (C=17) related compound,not given,Page 31: Table B2 (cont.): GC-MS Results for the isooctane Extracts of the Test Article (concentrated),,,,Ambiguous identity,No standardized or original SMILES supplied; name contains an ambiguity annotation,Insufficient identity evidence,Review the source table and analytical evidence; do not create a structure from the annotation text,Ineligible until identity is approved,Review source evidence and obtain an approved structure; do not infer from name text
201,Branched alkane (C=18) related compound,not given,Page 31: Table B2 (cont.): GC-MS Results for the isooctane Extracts of the Test Article (concentrated),,,,Ambiguous identity,No standardized or original SMILES supplied; name contains an ambiguity annotation,Insufficient identity evidence,Review the source table and analytical evidence; do not create a structure from the annotation text,Ineligible until identity is approved,Review source evidence and obtain an approved structure; do not infer from name text
